,names,logfoldchanges
7673,LINC02019,1.3825544
166,CEL,1.3788351
6428,C14orf39,1.3711267
9105,TAS1R3,1.3695167
2877,CTRL,1.3663929
7837,IPCEF1,1.3655586
9460,MCM10,1.3653526
395,SYCN,1.3632613
10632,CHRNG,1.3612672
9280,MMP19,1.3604662
6294,PPARGC1A,1.3593328
4646,SHISA6,1.3512497
3070,KCNAB1,1.3501027
26,AGPAT5,1.3495796
9742,DOCK5,1.3483192
9483,ALOX12,1.3483053
8167,C5orf47,1.3480929
9558,DPRX,1.34603
3529,ROR2,1.339554
10589,LRTM1,1.3356179
6531,C2,1.3351159
4336,PCDH9,1.3344511
7445,HYI-AS1,1.3309735
8828,FAM163A,1.3285462
6637,DINOL,1.3261628
6335,VTN,1.3254145
3473,SPRY4,1.3252102
7927,NOTUM,1.324406
1781,UBAP1L,1.3224678
4408,ELK3,1.3195081
8470,TXLNB,1.3168685
9356,LINC02721,1.316294
9685,NLRC3,1.3154751
9788,PKIA-AS1,1.3150009
9045,AGTR1,1.3149915
10530,TMEM63A,1.313725
10419,GFI1,1.313325
9101,SPRY3,1.310935
4163,ACHE,1.3098446
7852,KCNA1,1.3057017
596,MDFIC,1.3034439
5,CLPS,1.3034146
1987,PRICKLE2,1.3019497
9491,ASPG,1.3010373
6715,PTHLH,1.3000417
9607,VIM-AS1,1.2998109
9721,GPR22,1.2986112
8726,NXPH4,1.2983384
11672,TMEM119,1.2983055
8493,LINC01565,1.296863
9885,SLC26A7,1.2951375
8964,SERPIND1,1.2943661
6185,FRMD4A,1.293795
8478,ZSWIM8-AS1,1.2936665
6187,FRMPD1,1.292427
10505,LPAR1,1.2885491
9713,SULT2B1,1.2880946
7099,CITED1,1.2877126
10997,PPP1R27,1.2872553
9364,LINC01119,1.2863472
8023,ACER2,1.2825537
6894,C1QTNF12,1.2808887
7347,ID2-AS1,1.2777457
9616,CA14,1.2755399
10052,RYR1,1.2722847
4857,LINC02551,1.2722174
8321,RAI1-AS1,1.2705284
8581,DDTL,1.2682261
2383,PDE4B,1.2674321
10228,PABPC3,1.2663113
8102,LINC00237,1.2660141
8992,OLFML3,1.2655044
10126,ARHGAP11B,1.2644432
6781,ABCC2,1.2638726
6813,LINC01239,1.2603492
8592,GTF3C2-AS1,1.2599788
8534,CDHR5,1.2593957
7749,DRD4,1.2592232
9526,PLIN4,1.2585264
10013,SATB2-AS1,1.258344
7800,TRIM72,1.2577927
10979,PDGFC,1.2576836
8777,LINC00304,1.2572887
1617,FAM184B,1.2572538
3696,ZBTB44-DT,1.2548449
9498,SLFNL1-AS1,1.2519957
10099,PP2D1,1.2514552
7685,LINC01798,1.2508858
7612,C9orf153,1.2501754
9229,LRRC17,1.2486265
1419,TNFAIP3,1.2477382
518,CPB1,1.24684
1992,ADAMTS5,1.2464253
9839,GJD3,1.2450345
11675,MYBL2,1.2428163
3745,KIF19,1.2402968
10548,MIR583HG,1.2387187
6360,LRRC8C,1.2372532
10867,NEXN-AS1,1.2365961
8959,HTR2A,1.2347605
8979,ERP27,1.231282
9464,APOF,1.2311682
1152,PCDHB16,1.2287205
6153,JPH4,1.228208
9458,CPLX4,1.2270722
9456,LINC02362,1.2257841
9549,SHANK2,1.224916
3995,POU2F2,1.2243434
8085,AGAP5,1.2222468
7176,SLC6A20,1.2222322
8234,DOC2B,1.2211691
10253,CDH17,1.2210027
9669,RGS6,1.2196848
1461,ZSWIM6,1.219353
942,PRSS3,1.2186097
10377,FGFR3,1.2184488
1643,GNAL,1.2183073
6263,FOCAD-AS1,1.2168891
9608,TNFRSF9,1.2153667
8163,ANKLE1,1.2148308
9670,EPHA2,1.2147722
7006,PDE4A,1.2143292
2761,DGKB,1.2142816
4101,TDRD6,1.2106353
5464,CCDC78,1.2101804
9873,ARHGEF38,1.2095243
9937,ALPK1,1.2094557
10002,KLF14,1.2094337
7571,KCNA2,1.2065557
3184,OSBPL1A,1.2061133
804,SHISAL1,1.2036349
8243,FRMD5,1.2032855
9682,CNTF,1.2023928
9514,KRT17,1.201747
9817,KLRD1,1.2010049
9808,RBFOX1,1.1990048
1295,GRIN2A,1.1954855
8921,CYSRT1,1.1939079
8420,C2CD4D-AS1,1.1937679
10374,LINC02576,1.1890396
9179,SEMA3F-AS1,1.1867013
8244,C6orf132,1.1865649
2281,CHRNA5,1.1844598
9609,CHRNA2,1.1804408
921,FAM135B,1.18041
7527,PYCARD-AS1,1.1792823
7595,S100P,1.1776761
224,SGIP1,1.1773965
6924,LPAR4,1.1762877
8381,EDN1,1.1752715
9213,INHBE,1.1731526
4365,NPIPB2,1.1709197
4890,KCNJ2,1.1705304
6075,LAMB2,1.1700317
8606,NRG1-IT1,1.1696913
8624,DNM3-IT1,1.168778
3028,LINC02193,1.1683344
7506,GPC2,1.1678576
9184,LINC02389,1.1668885
6151,PTGER4,1.1656942
9355,SPATA41,1.1656104
10786,PIGR,1.1653113
8723,ULBP2,1.164963
7965,RPS10-NUDT3,1.1648421
10196,GPR85,1.1647068
10153,CCR6,1.1644893
7622,IL21R-AS1,1.1610668
3328,PRG4,1.1602036
10294,C4BPB,1.1587455
0,C1QL1,1.155227
6336,PRSS27,1.154332
9322,ZCCHC12,1.1530589
6729,SLC9A5,1.1526186
13,PRSS1,1.1521426
8096,PRKD1,1.1497681
9893,ARHGAP31,1.1496749
9489,PTK6,1.1487354
9390,GAL3ST4,1.1477381
9887,ATOH8,1.147109
1028,NPW,1.146342
2121,THBD,1.1461532
7505,B3GNT3,1.145662
10629,S100A14,1.1445763
10684,LINC01098,1.1434352
9774,AIRN,1.1432493
10842,PLA2R1,1.1430831
8658,PTCHD4,1.1422703
10527,LIN28A,1.1414667
7366,MYH3,1.1384428
4736,PTCH2,1.1378045
489,FMN1,1.1377424
8022,SEMA4A,1.1371921
254,KCNK17,1.1359668
10528,TAS2R19,1.1337751
169,NEFM,1.1335386
10734,BUB1B,1.1308304
8879,FCGBP,1.1302872
7978,KLHL13,1.1296701
19,CTRB1,1.129557
10246,RLN3,1.1273688
1487,PHLDA3,1.1255584
372,UNC5B,1.1251159
9934,SALL1,1.124935
9852,JADRR,1.1238854
9347,EYA4,1.1237959
6632,BCL2,1.1234162
9306,SORCS2,1.1228536
8840,PCDHGA1,1.1213483
9941,NLRP2B,1.1207949
10712,PTX3,1.1196967
8185,LINC02284,1.119228
9591,SLC6A12,1.1188515
4404,MAMDC2,1.1182162
9453,NKILA,1.1165687
8750,LAMB3,1.115486
6671,PLCD3,1.1136649
6384,MUC1,1.1121736
2191,KCNAB2,1.1121178
5336,PTGER1,1.1111246
9840,RYR3,1.1106633
3532,BEGAIN,1.1100744
9625,PCSK6,1.1098559
7616,RIPPLY3,1.109751
9477,WNT7B,1.1078484
6976,GAB3,1.1071664
6608,PRKCQ,1.106723
9561,SEMA3G,1.1067104
10005,GRHL3,1.1065239
5694,LINC02680,1.1060494
10375,CLDN6,1.1042147
8719,GCOM1,1.1033552
8460,CRB1,1.101368
10544,COL22A1,1.1003163
6991,FZD8,1.0998349
5491,PCDHB12,1.0993071
9181,BRINP1,1.0990562
11092,AADAC,1.0960536
8138,TTTY10,1.0925435
9090,CHRM5,1.0923522
6757,ADRB1,1.0916418
6048,TPBGL,1.091358
9914,HRNR,1.0876507
10698,UBA7,1.0858179
9289,TCF24,1.085474
8497,C6orf58,1.084343
7328,CIRBP-AS1,1.0821166
5227,PCDHB3,1.0806829
7337,TMEM151B,1.0799323
9422,MOCOS,1.0799203
9896,KALRN,1.0797049
7824,ANPEP,1.0795225
162,INHBA,1.0793647
5537,C1orf162,1.0789636
9573,ZBTB20-AS1,1.0787492
9898,TDRG1,1.0787483
10303,CPNE7,1.077647
10116,PHF24,1.0770848
6585,SLC22A23,1.0768996
10383,TMEM31,1.0739948
7092,THRB-IT1,1.0730424
937,STOM,1.0724953
9064,MUC6,1.0712372
9430,CPEB2-DT,1.0710938
2284,FOXQ1,1.07093
12523,LINC02172,1.0693151
9624,LRRC4C,1.068749
9358,CAMTA1-IT1,1.0685049
1899,USP20,1.06831
8417,NEB,1.0678546
4864,TTYH3,1.0672725
263,SIX3,1.0665158
8892,TMC5,1.0661117
9712,LINC00327,1.0660306
6223,NOD1,1.06297
5160,HSD17B13,1.062612
8664,SFTA2,1.0625992
6744,PLCL1,1.0625668
5337,SLC8A3,1.0607939
7526,SMAD5-AS1,1.0594794
9841,UBE2C,1.0590686
9886,PDZRN4,1.0588319
9579,CCM2L,1.0582464
7244,AFF3,1.0572321
4895,PHGR1,1.0560583
9108,LINC01962,1.0560217
6138,CCDC61,1.0559554
7923,SPAG5,1.05592
7414,FAM209A,1.0552648
2770,INPP4B,1.0545036
9692,BACH1-IT1,1.0537981
10743,RNF39,1.0533682
3876,VDR,1.0533094
7387,CCN1,1.0530926
6885,LINC01767,1.05262
10330,PCDH11X,1.0523901
7494,MINAR1,1.0516407
12497,LINC02125,1.0514133
148,FBXL16,1.0510751
4084,CD8B2,1.0507334
10269,PDGFRA,1.0501407
7169,RASD2,1.0493613
11386,FNDC7,1.0459797
9888,CCDC70,1.0452236
7835,ARSJ,1.0440313
6545,TNFRSF10B,1.043787
707,TACC2,1.0428557
11159,DDIAS,1.0428551
11034,PTCSC2,1.0420527
4380,KCNH1,1.0418147
11537,MYT1L-AS1,1.0417261
7043,OR51D1,1.0410718
7163,SDK2,1.0409062
113,ULK1,1.040133
7270,ATP2B2,1.040107
6842,NXPH3,1.0397261
1222,GTPBP2,1.0396106
7987,MIR503HG,1.0391377
8983,SCGB1B2P,1.0391071
10822,STARD6,1.0379342
480,PLXNA2,1.0374866
4896,SLC16A7,1.0368751
501,TRAK2,1.036188
5362,KCNN3,1.0349882
4580,AGR2,1.0337398
7240,LINC00624,1.0332341
7420,PLCD4,1.029
7285,PLIN5,1.0282178
6756,ETV4,1.0277368
1260,ZNF384,1.027089
7502,FAM83A-AS1,1.0252289
8815,NABP1,1.0237935
12002,GLDC,1.021846
7908,RGPD8,1.0218064
5218,LIPG,1.0215214
10816,EPHX3,1.0202656
8434,POPDC2,1.0202587
8044,TMEM132C,1.0201709
8672,SRD5A3-AS1,1.0197986
7982,SNX22,1.0196311
1733,NFATC2,1.0193689
338,TGFB1,1.018232
8907,ALDH1A3,1.0153062
6702,IGFALS,1.0145483
4191,HLA-DMA,1.0127368
9850,CCNJL,1.012613
7901,TEX45,1.0113362
8159,GP6,1.0097643
556,SIX3-AS1,1.0093791
3820,GLB1L2,1.0088103
7058,ADAM8,1.0083128
7881,CYP7B1,1.0042584
8807,CLDN10,1.0041807
6584,RNF144B,1.0035768
2883,PFKFB3,1.0025618
10257,ARMS2,1.0024021
8756,CAPN12,1.0023698
8459,BAALC-AS2,1.0018559
9353,ITGA9,1.0011704
7791,PLEKHD1,1.000963
1830,BMF,1.0006202
9382,PITRM1-AS1,1.000194
11160,RAB27B,0.9991448
9568,IRAIN,0.9961266
808,KCND3,0.9958993
6886,ADGRG3,0.9956397
5470,RMRP-1,0.99508625
5471,RMRP,0.99508625
9655,LAMA3,0.9947434
10048,COL17A1,0.99464166
4112,KCNJ14,0.9942246
6659,EBF4,0.99385196
5078,CMYA5,0.99341494
9686,MMP17,0.99228966
8179,KCNQ1,0.99156433
9251,CLCA4-AS1,0.9901591
7247,THBS3,0.98991305
8213,POF1B,0.98986
4641,CDKN2B-AS1,0.98902553
7610,NKX6-3,0.98882043
8868,ABCG5,0.98843175
10244,CXCR5,0.9882769
10938,ERCC6L,0.9875391
3136,SMCR5,0.98729235
4043,EPHA1-AS1,0.9854867
1138,IGSF1,0.9842223
2980,HCN2,0.9833439
8735,GBP2,0.98236054
4900,ZNF710,0.98182553
1396,MID1,0.9813457
42,PLCG2,0.9796227
8246,SNHG22,0.97918034
5638,DSCAM,0.97901005
5202,ABCA10,0.97864497
7225,AOC2,0.9781152
2800,CNTN5,0.97630125
2276,RFLNB,0.97571856
9366,LINC02767,0.9756969
382,ZNF365,0.9755465
9057,STX1B,0.9749109
9605,CFLAR-AS1,0.9745119
2914,TNRC18,0.9737014
10107,INSC,0.9734405
10194,PKLR,0.97288835
8337,MIR9-3HG,0.9722015
3575,LINC00324,0.9712517
2048,ITGB5,0.97041833
7690,AMOTL2,0.9700162
264,SEMA6A,0.96996856
9212,TMC3-AS1,0.96968794
8087,LINC00691,0.96936226
6955,P4HA3,0.969269
2059,TCERG1L,0.967839
9062,NCKAP1L,0.96736115
4023,C19orf18,0.9664721
530,DPYSL3,0.96604097
10014,ARHGAP8,0.9660008
3227,KBTBD11,0.96517885
11128,LINC02572,0.964937
2302,MNX1-AS2,0.9644863
10335,IL4R,0.9643625
1463,AKAP12,0.9639878
10054,ZMYND15,0.9635364
11338,IZUMO2,0.96305037
10073,CORIN,0.96182746
10105,JAM2,0.95732474
6884,DPEP1,0.9569909
1177,BCL9L,0.9566836
1518,CDH22,0.95528066
983,SSTR5-AS1,0.9544527
294,MTUS1,0.9531856
1839,KIAA0513,0.9527113
117,LSAMP,0.95097834
8098,DISC1,0.95035905
5022,ANKRD34C,0.9481768
9443,GFAP,0.94789827
9613,PCDHA7,0.94780135
3476,UBOX5,0.94779533
8088,XRCC2,0.9476762
8443,MYO7A,0.94617593
9315,ATP6V1C2,0.94529814
6060,LINC02604,0.94523585
6437,HR,0.9450128
5381,PHACTR1,0.9446745
1673,GALNT10,0.94435287
7426,DNAH10OS,0.94425225
10475,GP1BA,0.9430172
10192,LINC02223,0.9426339
5914,AURKC,0.9423679
1692,IER5,0.94232357
9129,SERPINA5,0.9420536
10039,EVPLL,0.9402321
6260,MLPH,0.9396543
7657,LINC02340,0.93940514
8430,NT5E,0.93922985
8086,ZNF710-AS1,0.9380821
8171,CTSS,0.9370726
7812,KBTBD8,0.93631995
10060,ARHGAP25,0.9360093
9063,LUZP2,0.9355805
1392,NPAS2,0.93546134
8487,CCNA2,0.9343355
8262,DENND6A-DT,0.9339044
7862,DND1,0.93337095
6050,EYS,0.9328747
9897,LINC01191,0.93287265
5340,GZMM,0.9328421
10445,HAL,0.93214554
2572,AK4,0.9317205
4521,LINC01176,0.93147963
9116,CD164L2,0.9314174
9743,GSTM1,0.9313623
7842,PAQR4,0.93069375
2985,SBNO2,0.9291271
7934,LINC01876,0.9289525
8310,KHDC1L,0.9266202
52,SPEN,0.9261909
7093,B3GNT7,0.92584735
7447,LINC02288,0.9251729
11222,HES7,0.9244089
10164,KCNE1,0.9242214
3790,PFKFB4,0.9229259
363,ABCA2,0.922597
9391,C16orf74,0.92112565
6984,KIF11,0.9210863
6980,BAAT,0.921044
4640,IRAK2,0.9204794
101,ZCCHC14,0.9199791
6161,RERE-AS1,0.91946447
9143,HAPLN2,0.91844296
2516,MEX3D,0.9168334
10140,C3,0.9167951
8247,MDFI,0.91634804
9462,ADAM32,0.91558564
8912,YAP1,0.9151312
8795,TMEM217,0.9139154
389,XRRA1,0.913321
8136,CXCL2,0.9128439
6959,F5,0.91248584
8346,TECTA,0.91203284
259,TMEM59L,0.9112228
844,ZBTB7B,0.91113585
8548,SATB2,0.9111274
651,PREX1,0.910394
5056,SOX9,0.90967584
7601,NBPF19,0.9086287
822,TNK2,0.9084965
8469,HCN1,0.9084082
10446,SRRM5,0.90824836
8550,KLHL10,0.9074715
8369,SEMA6A-AS2,0.9065302
8421,GRK7,0.9049816
9587,FAM221B,0.90439475
9572,TCF4-AS2,0.9030774
2736,PDIA5,0.9024443
6889,KCNK15,0.902418
7849,LINC01068,0.9022042
11116,CXCL1,0.901877
9863,GBP3,0.9011597
1861,GFOD1,0.90106493
11323,RNF122,0.9010231
3900,CASP7,0.9009652
2331,GALNT7,0.90077066
7390,AQP8,0.90012205
9293,CNGB3,0.89995563
8898,UPK2,0.8997545
5258,SNX33,0.89684045
11523,SNHG27,0.8960431
10545,NR2E3,0.89553595
5697,ATP1A3,0.8952742
332,OGFRL1,0.8951467
8949,DNASE2B,0.8949155
4090,WFIKKN1,0.89477926
216,ITPR3,0.8943484
5522,PEG13,0.8932797
462,EDEM1,0.89314634
7227,ASTN1,0.8924229
13980,C11orf16,0.8922408
3990,LINC01001,0.8919784
6968,NEXN,0.89119804
7892,PRKCG,0.8910526
9694,CDC20,0.89092666
9467,C9orf131,0.88965464
3086,ITGB8,0.88925713
4546,FRS3,0.8888863
4497,SLC38A1,0.8886689
7424,GLI3,0.88865644
8464,IGF2-AS,0.88840944
5775,RND3,0.88832664
2689,PRRT1,0.887069
5745,LRRTM1,0.8855572
9916,AIFM3,0.8848008
2413,DMRTA1,0.88407034
594,TNRC6C,0.88346714
8268,UPB1,0.8826118
10281,PLEKHN1,0.8825312
9984,TEAD3,0.8820249
6470,UCN,0.88073593
8694,KCNMB2-AS1,0.88048726
872,RAI1,0.8804164
12189,UPK1B,0.87995374
9028,SPATA21,0.87912285
6241,LINC02731,0.8780668
11302,NPR3,0.87797654
8910,ATP11C,0.8772161
6492,ICOSLG,0.8770297
7698,ZNF704,0.87671447
10590,MAFA-AS1,0.8758707
9956,ERICD,0.87580633
3360,DUSP7,0.87464887
9148,CSPG5,0.8736065
4724,ZNF503-AS1,0.8731493
2707,DNAJB5,0.873113
10001,SDC3,0.87261236
9521,KCNMB1,0.87257403
7864,KCND3-IT1,0.8723409
11519,IDI2,0.87189496
7136,TFPI2,0.87136364
502,SLCO5A1,0.87020797
9224,NWD1,0.8698439
8328,LINC01132,0.86955017
8743,SYN3,0.8695056
2411,BAALC,0.8694329
10531,SMARCA5-AS1,0.86928034
66,CDCP1,0.8687108
209,MFHAS1,0.8683957
476,BBS5,0.86831367
3287,DCAF4L1,0.8675972
8721,RGPD2,0.8663138
8578,KCND1,0.8662281
6803,AHNAK2,0.865491
5087,BOC,0.8652439
8378,TUBB1,0.8645022
11011,MTTP,0.8643877
10199,SHE,0.8643814
729,SYNPO,0.86394775
7188,SH2B2,0.8637261
9220,ABHD1,0.8634793
6738,DEFB1,0.86323434
8272,LPCAT2,0.862679
7888,DPYD,0.862325
2682,FZD5,0.8622923
8542,LINC01686,0.8613878
4617,NPR2,0.8607841
7249,VN1R1,0.86057484
6416,ESR2,0.86036795
2996,PHLPP1,0.859883
9606,PTPN14,0.8592808
7858,CARD11,0.85879725
6850,HK1,0.8587846
4606,APOD,0.85868627
1292,AQP3,0.857988
6082,LSMEM1,0.8575608
8942,FLACC1,0.8570531
89,ZMIZ1,0.8569681
10458,CC2D2B,0.8562896
5044,DENND6A-AS1,0.8558231
193,HDAC9,0.8555251
5693,ZNF546,0.854717
88,TCF4,0.8544817
3430,SLC2A12,0.8542826
8080,PIP5K1B,0.8541791
9235,LINC01918,0.8541778
11013,CHST6,0.85310304
7936,CARMIL3,0.8528913
5864,MCPH1-AS1-1,0.85235816
5863,MCPH1-AS1,0.85235816
3308,PON1,0.85216165
2173,SSTR1,0.8515149
7950,ARG1,0.85086715
9277,NEUROD2,0.8507683
3875,LINGO4,0.8505738
10148,HAS3,0.8502164
10218,LINC00698,0.8499856
8733,NHS,0.8499557
9091,ARHGEF39,0.84959894
2943,MAP3K14,0.8495052
9328,SLITRK1,0.84906757
752,TMEM63C,0.84863776
5281,ZBTB16,0.8486026
8379,KLF15,0.84855276
7666,CFP,0.8479341
3526,SLC10A7,0.84761494
283,SLCO3A1,0.8470303
1417,VIM,0.84618527
5560,RARRES2,0.8457366
3878,USF1,0.8456153
56,SLC38A2,0.8445667
1476,TSPAN5,0.8440972
6830,CNNM3-DT,0.84326845
7203,CCBE1,0.8423787
8570,BDKRB2,0.8422911
1521,CNKSR2,0.8422519
8160,PIWIL4,0.8417584
8157,CENPA,0.8411699
5006,NREP,0.8405238
3057,MYOM1,0.84045184
2492,KREMEN1,0.8403338
612,DNM3,0.8393924
6121,GHSR,0.8390251
5951,JAG1,0.83787984
5626,METRNL,0.8377793
2375,SLC6A8,0.83656
3640,KLK1,0.83648133
292,CTRC,0.8362641
5587,TMEM132B,0.835878
7640,ABCA9,0.8352281
10591,LGI4,0.835093
8715,SLC49A3,0.8350211
923,ARHGAP29,0.8348757
8368,PCDHGA9,0.83455145
9031,DRD2,0.8345483
1393,SDC4,0.8345382
10120,HOGA1,0.8328542
3127,FGD6,0.8326012
3488,CRYAB,0.83142966
8066,CCN2,0.8314072
6627,BMP8A,0.8313357
63,CLSTN1,0.8312096
