,names,logfoldchanges
887,LGI3,3.4882698
5978,IL23A,3.48546
5668,BATF3,3.4798222
4709,GATA6-AS1,3.4744236
3032,UBOX5,3.4675972
720,ATP23,3.4508157
4598,TBXAS1,3.4324255
4615,MEIOC,3.4235256
4455,ANK1,3.4175582
477,XIST,3.410435
4707,PTGER1,3.4086936
5085,FMO5,3.3891442
5583,BAIAP2L2,3.3427324
3477,LINC02193,3.3375943
2143,PEBP4,3.3345916
5476,LINC01355,3.3264544
5475,LINC01355-1,3.3264544
1390,ZNF236,3.305306
1202,SPP1,3.3033464
6085,SYNDIG1L,3.2948055
5287,PRRT2,3.2868598
3851,KCNJ14,3.2822607
4878,PRDM12,3.2780073
4232,ECE2,3.2683034
4389,SCN2A,3.2622929
3240,CDNF,3.2529647
2812,OSGEPL1,3.2404613
2385,ID1,3.2394
5269,CHST2,3.205707
4817,IL1R2,3.1929042
4985,TCEANC,3.1904273
3349,STEAP3,3.1775742
4978,ADCY5,3.17002
5890,PRSS27,3.168472
3989,XK,3.1583269
5800,FOSL1,3.1425667
5669,LINC01885,3.1290114
817,ITGB5,3.120995
5671,ATP1A3,3.1083732
1579,KAZN,3.1033144
5464,RGS19,3.0981247
5675,SPRY4,3.095692
6126,GAS6,3.0954814
4046,CTTNBP2NL,3.0800197
1503,DKK3,3.0593295
4998,ZNF587B,3.059027
2815,PHYHIP,3.0426111
2043,SIX2,3.0370862
4965,HLA-DMA,3.0152476
570,SMAD9,3.0053833
4396,GEMIN4,3.0019503
5688,TMEM154,2.9737332
1376,KCNB1,2.9706068
3059,CNFN,2.9680667
5796,SLC22A23,2.954588
2299,LERFS,2.9490957
5499,CREB3L4,2.9253452
1429,DLGAP3,2.9232895
2098,ELF4,2.9163303
275,SIX3,2.9143357
4483,ZNF343,2.9052246
4983,LINC01750,2.892952
5203,MITF,2.8872776
613,TGFB1,2.8660326
4819,RFPL1S,2.8617923
5502,AMER1,2.8612883
5711,ITGA7,2.8585043
2212,KSR1,2.8555288
2510,PRG4,2.8501272
4860,SOWAHB,2.834476
5904,PRR5,2.825072
4815,LINC02551,2.76345
2994,CGN,2.754515
2291,VDR,2.7518296
3722,DSCR8,2.7513003
2684,PPP1R3B,2.7338786
5710,ANO7,2.7108932
1844,SPON2,2.7104056
4401,GPER1,2.7039244
2612,BRWD1-AS2,2.7025418
6120,MRGPRE,2.6772435
26,TXNIP,2.6756098
1601,FMN1,2.6745245
5784,CDC7,2.665307
2977,TTC7A,2.6641262
5277,MYOM1,2.6530635
5304,LINC02562,2.6493168
6134,AQP4-AS1,2.6491115
5706,DRAIC,2.647266
74,SOX4,2.6456258
808,ADA2,2.6349096
5097,MAST4-AS1,2.6326144
3284,PON1,2.6313798
675,TNFAIP8,2.6249487
4248,WDR91,2.6249044
2637,USP31,2.6238434
5012,XDH,2.619546
366,MAP3K3,2.61862
6133,PARS2,2.6143112
6023,KCNH1,2.6073568
725,LIPE-AS1,2.6005564
3351,FAM110C,2.5934756
1598,MIR4435-2HG,2.5927904
3969,TESMIN,2.5843408
5318,ZNF517,2.577395
2777,TNS2,2.5736876
5702,PMAIP1,2.5649724
4898,EXO5,2.5579944
5715,ADRB2,2.5528417
5313,LINC02731,2.552344
2536,PKDCC,2.5519624
5094,SBK1,2.5511668
2582,GLB1L2,2.5429847
3383,ST8SIA1,2.540745
2743,LIPG,2.5341368
653,ZNF530,2.5317752
3391,DGKB,2.5263357
3740,TRERF1,2.5263186
2858,KCNC3,2.5202618
5316,PCDH20,2.5175626
2841,BST1,2.5160873
3823,NATD1,2.513901
203,POU2F1,2.502276
5105,KLHL25,2.5018196
617,MEPCE,2.491672
5067,PTCD2,2.4857688
5626,FUT4,2.4837348
6112,AGR2,2.4760547
4755,HOXB2,2.4757826
3311,SATB1-AS1,2.4681969
1648,CENPH,2.461146
4737,MIR210HG,2.4602199
4833,S100A2,2.4436858
5002,GLIS3-AS1,2.4379754
4031,GLI3,2.4369326
561,TLE3,2.4317954
4935,IRX1,2.4285285
3503,ZFP64,2.420127
5199,PCSK9,2.4130309
5908,ATOH7,2.4089084
2529,ZSWIM6,2.4085083
1282,INF2,2.4040978
370,SLC18A2,2.401693
828,KCNJ3,2.4016902
1102,CLIP2,2.385171
513,IRAK4,2.3787909
20,NUAK1,2.3768513
1500,PCDHB16,2.3759744
3677,PDE4B,2.3748102
1654,PGM2L1,2.3716435
5716,FOXP1-IT1,2.3661475
4835,PCCA-DT,2.3552663
4134,TCEANC2,2.3540642
4764,TTC21A,2.3436792
2370,LZTS2,2.341325
6011,NSMCE1-DT,2.3338826
5529,PNPLA7,2.324997
764,SMURF1,2.321037
6031,CACNB1,2.3169641
5721,FUT1,2.3062367
1619,BMP8B,2.296333
2531,LRP1,2.2952902
2522,ESRRG,2.2944942
998,PARP9,2.2865236
743,RAB15,2.2863672
3819,ITGA2,2.2733238
3514,LINC00886,2.2712023
1513,PHGR1,2.27058
5922,GPR19,2.2678795
1585,KIAA0513,2.2655296
3012,PRLR,2.263645
2621,PIGY-DT,2.2594676
68,LDHB,2.258887
1821,SBNO1-AS1,2.2582798
6973,PCDHGA8,2.256769
3620,PBLD,2.250112
1709,PLEKHA2,2.2416008
6148,SIRPA,2.2415516
4961,NPR2,2.2410448
1451,CDH22,2.2399838
5332,PYROXD2,2.239723
6235,TMPO-AS1,2.2382214
1987,HDAC7,2.2366064
4911,PPT2,2.2333446
5616,PRKN,2.2324655
199,PELI2,2.2287042
4406,DFFB,2.2229881
4604,PCDHB10,2.2174964
3537,ZBTB34,2.2066214
1103,BCL6,2.206484
2136,TCEA3,2.20298
1365,LINC02762,2.1958897
5018,ZBTB44-DT,2.1924577
4659,ATCAY,2.18447
3787,WDR81,2.18323
6150,SLX4,2.1814563
5079,MAP3K15,2.171378
447,SOD3,2.1708286
2576,MMRN1,2.1660688
4408,GALNT4,2.1637657
6901,SCT,2.161538
3614,AMMECR1L,2.161357
4912,ZNF784,2.148982
4569,LINC01976,2.1458573
2267,EEPD1,2.1457438
6666,C1orf162,2.1454234
1110,CTDP1,2.141884
2010,PCDHB4,2.139186
5245,PLXDC2,2.1389496
1559,LINC02609,2.136372
6514,ZNF888,2.1331086
567,SMARCD2,2.1316366
2570,SMPDL3B,2.1287572
4571,NEFH,2.1256216
6761,ZNF250,2.1212094
6934,MRO,2.1206193
760,GPSM1,2.119952
3621,GAB1,2.118284
4651,DOLPP1,2.1155887
6905,MUSTN1,2.1115918
2149,RORB,2.1037908
5367,CABLES2,2.1008296
5525,MAP3K5,2.1002624
6067,MANEA-DT,2.0990145
2215,CCDC88C,2.0940921
5418,TACC3,2.0932264
4417,ADPRHL1,2.084409
4148,ABCD1,2.083358
2906,AK4,2.082417
659,RAI1,2.0785081
2144,IER5,2.074103
1695,TCAF2,2.071818
4423,SNHG4,2.0709374
5744,HLA-F-AS1,2.0643291
1501,KIAA1614,2.0638459
5944,S100Z,2.059417
4042,ZFP41,2.055163
2058,EYA3,2.0455422
241,DIPK1B,2.0435193
3719,NUDT8,2.0420556
302,PREX1,2.0389423
258,MTUS1,2.0381386
249,TNRC6C,2.0327563
420,GCG,2.0316935
5222,SLC2A2,2.027145
5444,PCDHB9,2.0248895
1631,KLHDC8A,2.0190427
6078,LRRIQ3,2.0155532
1988,HSPA1B,2.0153067
3145,PFKFB4,2.0124996
3732,ZNF230,2.0095496
3128,WDR3,2.0053124
288,KCND3,2.00429
752,SETD1B,2.003438
2803,ZNF319,1.9960667
3816,BAHCC1,1.9952797
1442,ARAP1,1.9932473
3814,FUOM,1.9925116
3803,ZNF436,1.9911164
5156,ZSCAN9,1.989653
4811,ZNF563,1.9894395
1976,TMEM201,1.9892356
6087,ID3,1.987427
3161,FYB2,1.9826667
4238,DSN1,1.9819785
2975,MAP3K1,1.9817083
2175,SEMA4B,1.9812074
55,IL20RA,1.9786129
5842,WDCP,1.9764237
4825,MC1R,1.9743811
544,MAN2B2,1.9724061
2877,PRICKLE2,1.9702151
1313,SHISAL1,1.9677033
6149,AZIN2,1.9669778
3865,MKLN1-AS,1.9649903
5274,PPP1R3C,1.9640403
4155,IQCC,1.9616818
1234,PRKCQ-AS1,1.9553474
309,SMIM1,1.9474541
3489,NPIPB15,1.9473841
13,FURIN,1.9468943
6172,ZBTB16,1.9458526
5575,SETMAR,1.9402751
4016,FAM111A,1.9401947
2395,KIF12,1.9333435
1900,HSD11B1-AS1,1.9324217
1257,NRTN,1.9316984
1472,NAV2,1.9298234
1571,PLXND1,1.9294145
5630,NCKAP5,1.9249836
1049,IRF2,1.9193097
10,TFF3,1.9189444
5188,FA2H,1.9168663
3798,SLC44A4,1.9158629
3689,EXPH5,1.906444
2526,ORAI1,1.9035968
2655,RARA,1.9033631
6554,ZNF619,1.9024748
756,ABHD18,1.9022387
649,NRG2,1.9021903
5425,EBF4,1.8997651
5100,PCF11-AS1,1.8953091
1454,LRRC4,1.8949597
106,LSAMP,1.88995
437,TCF7L2,1.8870194
4636,EHHADH,1.8869276
6789,TMEM88,1.8833951
3289,FAM181B,1.8830636
1662,SLC25A10,1.8825086
5170,ASAP1-IT2,1.8797212
1734,BHMT2,1.8771937
6794,RARA-AS1,1.8704001
1655,MAMLD1,1.8698882
128,LINC01023,1.8638554
3690,ITSN1,1.8607754
3482,TNFSF13,1.8583287
865,INHBA,1.8546154
5940,C21orf62,1.8538146
471,GPRIN3,1.8526455
880,ABCA1,1.8515568
1051,RCAN3AS,1.8480437
2120,SSTR5-AS1,1.8453739
5027,KLKB1,1.8449419
5936,CMTM7,1.8433177
6417,MEG9,1.8404858
878,ARHGEF37,1.8394063
1639,PHLDA3,1.837865
7448,STX18-AS1,1.8343482
498,UNC5B,1.8323438
1590,LRRC20,1.8299104
2449,FBXL18,1.8281804
4239,SACS,1.8272924
176,S100A13,1.8224039
7004,ANKRD23,1.821492
70,TCF4,1.8164655
4254,ZNF223,1.8153231
1068,S100PBP,1.8146394
5777,TNFAIP8L1,1.8133743
1272,ARF4-AS1,1.8129766
227,ARHGAP24,1.8122728
1215,LANCL1,1.8112297
212,IRX2,1.8100853
3276,NDUFA6-DT-1,1.8091353
3278,NDUFA6-DT-3,1.8091353
3277,NDUFA6-DT-2,1.8091353
3279,NDUFA6-DT,1.8091353
5477,CPNE8-AS1,1.8072798
3691,CEACAM19,1.8052012
272,BCL2L2,1.7977763
3373,SH3BP4,1.7940849
2405,WFIKKN1,1.7917355
786,RASGEF1A,1.7878535
1765,SYT16,1.7866899
5697,ZBTB46,1.7852762
491,TMEM63C,1.7844213
4874,CPNE4,1.7838342
1545,TIAM1,1.783104
3429,GRIN2A,1.7830677
31,KCNH2,1.7827165
4700,ZNF200,1.7820493
969,PPP1R9B,1.7794542
5083,LENG9,1.7779802
556,ZNF618,1.7774857
5319,ZNF81,1.7703986
4381,SEMA4F,1.7696353
4474,FBXL19,1.7692962
178,IQSEC1,1.7686237
6003,LINC02432,1.7654306
7228,FOXP4-AS1,1.7623434
1727,EOGT,1.7621049
5591,LMTK3,1.761856
5470,HAAO,1.7608982
143,MFHAS1,1.7599803
261,NINJ1,1.7546655
6658,TSNARE1,1.7513688
129,TBC1D22A,1.7482452
6159,HGH1,1.7468264
768,LINC00641,1.745432
805,PHLPP2,1.7449714
3418,LOXL1-AS1,1.7428498
5974,GPBAR1,1.7412301
3121,TCERG1L,1.7396425
1521,HEATR5A,1.7394828
5602,ZNF594,1.7394066
3307,BMF,1.7380735
6425,MRM1,1.7378787
4593,TTC36,1.7370086
4320,STAT5A,1.736444
749,CRIM1-DT,1.7353638
748,CRIM1-DT-1,1.7353638
4925,TBKBP1,1.7320367
4578,LINC02730,1.7312179
1264,CPT1A,1.7272247
3957,TIGD2,1.7237189
6081,AKR1C3,1.7230154
944,NDST2,1.7211319
2325,CTIF,1.717547
4736,GXYLT2,1.7147391
3208,B3GALT5-AS1,1.7140436
3611,PPP1R1C,1.7134708
3506,LIPT2,1.7102325
1562,ITGA3,1.7084837
718,FBXL8,1.7067487
3337,MNX1-AS2,1.7059178
5005,ZNF727,1.7057207
6224,PLEKHA7,1.7052349
732,HCFC1,1.7034819
6580,B4GALNT4,1.7004101
1687,SULF2,1.6990817
3218,LINC01886,1.6977228
2256,GCGR,1.6957217
5104,FGFR4,1.6952518
5888,GPLD1,1.694829
211,KIF22,1.694757
5016,BEGAIN,1.693496
6321,SCRT2,1.693371
3004,CORO2B,1.6929375
1443,DUSP5,1.689773
3259,ABHD17C,1.683772
6061,PRKCG,1.6793469
3318,ZC3H12A,1.6783452
3955,PPM1F,1.6759214
676,PIK3IP1,1.6754413
5488,ANGPTL2,1.6745198
5791,C19orf33,1.673319
3654,PCDHB14,1.6727495
4285,S1PR2,1.6719385
6737,NOD1,1.6716744
1753,FKRP,1.6715851
2285,CCDC110,1.6707138
2408,CTSH,1.67058
4943,NACC2,1.6702713
6460,LSM11,1.6664611
2263,GID4,1.6631765
3588,TTC22,1.6613593
2507,SPRY1,1.6610996
6449,CDKN2B-AS1,1.6610372
72,PDE8B,1.6595356
6577,LINC00632,1.659022
4784,EML3,1.6567129
1216,TNFSF10,1.6559949
3545,ZFP30,1.6545188
5214,P2RX6,1.653252
2399,UEVLD,1.6525428
4906,LRCH1,1.6523134
2005,GLCCI1,1.6499108
5071,POLH,1.6494476
6957,LINC00957,1.648137
775,INAFM2,1.6447467
661,WSCD2,1.6426427
2221,CBLB,1.6424463
1225,PLAG1,1.6401715
19,SSH2,1.6400168
706,DEUP1,1.6393975
4962,ZNF552,1.639032
4153,ZNF615,1.6376855
23,SUSD4,1.63704
4183,GORAB,1.6342627
1413,ZNF513,1.6312201
4512,SRGAP2B,1.63089
322,SEPTIN1,1.6299285
6221,TMEM117,1.6277672
5698,PCDHB12,1.6246992
6230,ICAM3,1.6217533
2234,KIAA1522,1.6215975
6605,ZNF860,1.6188793
3860,NOP9,1.6186701
205,MIR762HG,1.6183773
75,COX7A1,1.6176691
21,MLXIP,1.6164093
2894,FBXO10,1.6156994
851,CYBA,1.6149918
458,SMIM24,1.6140928
1943,PCDH1,1.6131799
4814,DEPTOR,1.6131665
2335,RETSAT,1.6119229
970,ARHGEF3,1.6116952
5278,CENPN,1.610859
5454,SPTY2D1OS,1.6105609
325,PLEKHH3,1.6085352
384,FKBP5,1.607228
1154,BSN,1.607185
2208,CAPRIN2,1.606233
5116,GPR146,1.605069
1151,MEGF8,1.6033065
5396,NUP43,1.6026137
4720,ACTR3C,1.6008573
4838,CMTM3,1.5991633
2237,GNAL,1.5981025
5404,OLIG1,1.5979718
2251,SLC12A7,1.5956342
5115,EDRF1-DT,1.5955981
987,MAPK14,1.5949215
6856,LPP-AS2,1.5942408
1423,UPRT,1.5932583
525,CYB561D1,1.5926368
3641,SMIM32,1.5914177
6009,TONSL,1.590212
2126,SLC9A8,1.5872802
3214,CRAMP1,1.5870209
6574,TIPARP-AS1,1.5865526
1449,ZNF219,1.5863345
2056,LINC01121,1.5857699
6344,PCDHB7,1.5825192
3380,CBFA2T3,1.581483
4763,SPATA1,1.5812347
5528,ADRB1,1.5810596
1059,CAND2,1.5808154
5707,NRM,1.5799881
352,RPP14,1.5794915
908,SNHG18,1.5784985
821,PAPPA2,1.575473
667,MUC13,1.5754591
254,BCR,1.5745475
3481,DUSP7,1.5735886
4130,FRS3,1.5725749
3759,SLC25A40,1.5713794
3358,LMF1,1.5705507
4240,MELTF,1.5705348
757,SIM1,1.5698848
7298,ZNF519,1.5688137
411,CREBBP,1.5676634
1658,CPEB2,1.5664454
2676,NFATC3,1.5657524
5852,EEF1AKMT3,1.5651935
4002,SNED1,1.5651292
5324,CPM,1.5640513
5243,NHSL2,1.5633377
2888,PHF19,1.5589811
2942,HNF4A,1.558696
3528,ATAD2,1.5581138
534,NIPAL3,1.5579962
402,C1orf127,1.5578333
2974,BBS10,1.5556028
5301,BTBD17,1.5543503
1481,SAPCD1-AS1-2,1.5526434
1482,SAPCD1-AS1-4,1.5526434
1485,SAPCD1-AS1,1.5526434
1484,SAPCD1-AS1-1,1.5526434
1483,SAPCD1-AS1-3,1.5526434
3960,IL18BP,1.5519203
172,AHDC1,1.5496892
3031,TNFAIP3,1.5495061
279,FBXL16,1.5459332
2469,PGBD5,1.5444897
2470,IRF1,1.5439388
5587,LRRC2,1.5391423
7492,CKS2,1.5390284
96,SLC29A4,1.5376866
6862,ERC2,1.5367633
6205,AGAP4,1.5354761
4845,AP4S1,1.534488
528,MTHFR,1.5342468
1783,CLCN5,1.5335503
1707,DCUN1D3,1.5311531
375,SERTAD4-AS1,1.5310581
376,SERTAD4-AS1-1,1.5310581
713,ZFP36,1.5299176
2012,ARNT,1.5279539
4652,PEG13,1.5262077
278,SATB1,1.525587
1267,CSRNP2,1.525361
2380,VSIG10,1.5249522
1956,SPINDOC,1.524792
5618,ITIH5,1.5239798
5880,ZNF691,1.5226161
2756,IFIT1,1.5203979
7544,CAMKK2,1.5193084
1659,MAML1,1.5162429
6858,TCAP,1.5155652
6813,CDKN2B,1.5152321
4051,DAGLA,1.5144317
6014,SLC16A7,1.5123641
751,SLC2A11,1.5113273
1159,SRCAP,1.51109
5752,CLYBL,1.5110129
1373,LRRC8A,1.5100859
5049,CHEK1,1.5078409
6028,ERI2,1.506862
7036,LINC01341,1.5065987
1867,NOL9,1.5039436
5189,FBF1,1.5030111
2904,CCDC7,1.5017651
505,SERPINA1,1.4999065
1527,EIF4EBP3,1.4993925
5075,SLC11A1,1.4934591
3789,ZKSCAN5,1.4929961
3192,FAM107A,1.492174
184,CDK5R1,1.4920185
1246,SP4,1.4906313
6763,POU2F2,1.4895561
166,FAM222B,1.489481
813,PLCL2,1.4891652
2928,FAM200A,1.4872848
5660,AGRN,1.4871043
2801,WSCD1,1.4855762
2736,PTPN21,1.4838915
405,RXRA,1.48369
1826,SIRT3,1.4836156
6248,KCNJ2,1.4835109
6294,MIR222HG,1.4826952
1101,ZNF714,1.4813222
6507,ACTR5,1.4810407
50,PAPSS2,1.47962
6136,TRIM14,1.4792371
4110,LINC01497,1.4787157
3402,SLC35D1,1.4780113
2588,MOB3A,1.4766756
362,SMCO4,1.47646
2884,RILP,1.4718947
2422,LY6G5C,1.4709643
3552,AARD,1.4706162
2855,PROC,1.4682841
132,SHC2,1.4679099
4225,SLC38A4,1.466206
2847,SBNO2,1.4655244
3230,KCNAB2,1.4637533
3726,ZNF107,1.4632789
1417,LIG4,1.4626813
179,ZNF503,1.4619473
967,TSHZ3,1.4600811
6481,LPAR2,1.4595793
3124,ZC3H4,1.4590139
489,TADA2B,1.458243
1359,MLLT1,1.457776
245,PAK6,1.456752
4090,FGD6,1.456194
7860,ZDHHC11,1.4560614
4377,KANK1,1.4556198
5872,ZNF217,1.4545919
4361,HIP1,1.4506627
6534,SLC9B1,1.4473735
1476,NIN,1.4465189
277,STXBP5,1.4452767
1434,ERV3-1,1.444716
138,HSBP1L1,1.4446807
4926,QPRT,1.442756
305,TEF,1.4420305
615,ZNF703,1.4419546
3533,ZNF836,1.4391716
1374,RAB11FIP3,1.4387457
365,PLIN3,1.4386876
1764,CBL,1.4351426
5465,WNT9A,1.4343524
1897,RAVER2,1.4337406
2459,RIC8B,1.4337264
2039,DHX33,1.4333098
1820,PITPNM2,1.4323614
1525,NECAB3,1.431141
2379,TNFAIP1,1.4295992
28,PHC2,1.4295937
1008,TMEM178B,1.4295448
3164,RHBDL1,1.4285821
5032,ZNF155,1.4282669
3523,SAMD4A,1.4277653
410,CDKN2A,1.4269425
521,METTL7A,1.4261805
4351,FAM20A,1.4258457
2361,CTXN2,1.4257854
84,SHISAL2B,1.4250187
2337,ADCY9,1.4248557
3182,IRS1,1.4242822
2729,UGT8,1.4240936
3644,IL6R-AS1,1.4239972
223,NUMBL,1.4239405
3991,FOXRED2,1.4239303
1779,SEMA6D,1.4226199
54,PCYOX1,1.4224682
5928,GPM6B,1.4220065
380,CA11,1.4211277
5729,PXDC1,1.420538
852,IL10RB,1.4203298
4913,AVIL,1.4192234
5209,MGLL,1.41779
1052,PIAS4,1.4175965
4251,SMIM18,1.4171299
7444,NDRG2,1.4153649
1295,ZSCAN29,1.4151999
4437,ZNF273,1.4145416
4431,MBLAC2,1.4143836
2861,RNF44,1.4137064
3017,BCL11A,1.4128155
5810,C1R,1.4109354
157,ARID1A,1.4104532
5473,MMP9,1.409818
114,CASTOR2,1.4095516
645,SOWAHA,1.409137
6223,TCIM,1.409125
2173,GPAT3,1.4083415
1126,PRKAB2,1.407402
4767,CYP3A5,1.4070251
2113,LRRC14,1.4054554
1784,ST3GAL1,1.4048967
4915,SPRED3,1.4047415
5705,LRRC37A3,1.4037706
2808,GRAMD1B,1.4037328
1543,TAF1,1.4023799
6962,ECT2,1.402099
3684,COLCA1,1.4012969
520,COQ8A,1.4012066
1358,NRL,1.4006178
616,UBXN2A,1.3997995
44,ITGAE,1.3985004
761,CAHM,1.398029
3107,AATK,1.396362
6337,EPB41L4A,1.3957372
2319,NRF1,1.3950946
1034,SHB,1.3929906
419,KSR2,1.392654
5282,TAMM41,1.3924733
6030,RAB43,1.3918706
1184,RBM26-AS1,1.391215
834,PARTICL,1.3904953
6963,ARHGEF25,1.3890977
4901,SLC16A12,1.3880861
550,CLIP3,1.388076
7747,ZPBP,1.388011
5754,LRRC8C-DT,1.3867425
1410,DIRAS1,1.3866559
3148,LCN12,1.3851641
3293,TTC9,1.3833156
413,PUS3,1.382983
6384,PGBD1,1.382872
2128,THOC5,1.3827217
3183,AP4E1,1.3815353
6922,PDE1B,1.3802341
1665,UCK2,1.3799595
4881,ZNF182,1.3799002
3929,SFTPA1,1.379057
877,NEFM,1.3785647
5498,ZNF829,1.378447
22,PCDH17,1.378307
118,FAM222A,1.3781111
2444,ELMO2,1.3776819
1298,ZNF609,1.3760922
4457,THBD,1.3748456
894,WDFY3-AS2,1.3745539
3366,RCC2,1.3718468
5607,KLLN,1.368349
6281,OAZ3,1.3665625
3651,LINC00997,1.366008
3710,CAPN10,1.3656409
568,WASF3,1.3636645
1107,IQSEC3,1.3634118
3313,NPC1L1,1.363377
709,AKAP1,1.3633466
3133,DNASE1L1,1.3632216
3881,UTP14A,1.3627418
3518,ZKSCAN2,1.3623822
3736,ABCB9,1.3610023
3721,AGAP1-IT1,1.3603716
2162,NR3C2,1.3595135
3459,SERPINA6,1.3592676
571,SOWAHC,1.3592436
2354,BCL3,1.3586891
1771,GAS2L1,1.3571652
4022,BAALC,1.356147
488,DCUN1D1,1.3560857
1328,SLC48A1,1.3553631
421,DAPL1,1.3548969
5934,GTF2E1,1.353122
6025,PLA2G6,1.3526627
62,RALGDS,1.3521639
3324,LIN52,1.3517054
340,SCAF1,1.3513316
2752,KCNE4,1.3507825
2537,PLA2G15,1.3505031
1437,ARNT2,1.3495147
1105,SNX18,1.3493333
1265,ZNFX1,1.3484746
1678,E4F1,1.3477266
4492,SH3BP2,1.3471042
783,TLE2,1.3457966
25,RNF145,1.3457183
572,NEGR1,1.3455257
1185,BICDL1,1.3455149
1732,MAN2C1,1.3454964
100,POLR2A,1.3441644
2631,SRRM3,1.3438805
386,TMEM59L,1.3437765
1354,P3H4,1.3437018
4207,ZNF189,1.3436086
3398,POGLUT3,1.3435999
1514,LDB1,1.3424567
5415,NLGN4Y,1.3406901
730,NR2F2,1.3375924
6063,C1orf115,1.3375183
6691,ANK3,1.3368603
368,UGCG,1.3368158
153,KDM6B,1.3363022
3237,ZNF324,1.3362708
2796,RCBTB2,1.3347394
904,PGR,1.3346132
2333,BAZ1A,1.333881
1223,MRPL30,1.3333131
642,DUSP14,1.332822
2604,ZNF362,1.3308997
1969,ING1,1.3306295
1963,ZNF654,1.3303028
2866,SIAE,1.3286963
57,CDKN1C,1.3286719
400,FBXO45,1.3284616
812,GLB1,1.3283501
3047,MCM3,1.3280439
635,ABL2,1.3255105
2516,GAREM1,1.3232096
350,ETNK2,1.3206965
1570,NUP37,1.3202404
361,ARHGAP21,1.3202326
392,EPHX1,1.3201244
3095,NYAP1,1.3189684
492,B4GALT2,1.3187569
1606,GTF2A1,1.3174962
670,DSG2,1.3168457
286,EDIL3,1.316583
12,C1QL1,1.3160691
588,KCTD2,1.315971
61,CXXC4,1.3159328
2222,GREB1,1.315665
5223,SLC2A12,1.3152381
6531,CSGALNACT1,1.3147525
3028,LINC01806,1.3143481
15,NFIC,1.313794
442,FOXK1,1.3137106
5419,LINC00240,1.313205
135,ZNF585A,1.3124074
5456,SPDL1,1.3118397
4244,FNDC5,1.3112395
2625,ABCB10,1.3102031
7032,TMEM169,1.3100088
4450,PNMT,1.3094479
5663,ZNF709,1.3090813
1668,ARX,1.3080169
1691,CACNA2D2,1.3078679
4920,TRIM68,1.30663
1021,ZNF318,1.30581
4798,SOX15,1.3047799
4894,SORBS1,1.3040535
5302,TMEM131L,1.3040161
1801,RAB35,1.3039652
938,GCNT1,1.3024213
2386,SMURF2,1.3009776
3795,RBM41,1.3007578
154,WAC-AS1,1.3004669
2859,BIN3,1.2998619
3799,HAPLN4,1.2995744
558,ETS2,1.2991164
3593,INPP5B,1.2986904
7572,MUC1,1.2964755
951,CARM1,1.296452
994,RAB30,1.2964398
3707,TTC38,1.2960973
2805,VSTM2L,1.2960479
104,GDE1,1.2950522
4203,CNTN5,1.2938799
6747,NCMAP,1.2935201
42,CTSZ,1.2934246
1375,EXTL3,1.2927433
3424,ZSCAN31,1.2926965
2946,RFESD,1.2925866
1431,LINC00339,1.2903739
512,MAU2,1.2889918
2278,MDFIC,1.2880476
300,RAB11FIP5,1.2876731
1092,GUCD1,1.2871763
1192,SALL2,1.2865915
2158,RAB40C,1.2864491
120,CREBRF,1.2841513
3723,LRSAM1,1.2838204
24,SYT7,1.2836455
5628,LINC00877,1.2833031
